Date,Close/Last,Volume,7d_ma,30d_volatility,lag_1,lag_3,lag_7,day_of_week,month
2012-12-10,85.56,180256.0,87.44714285714285,1.3532013977928425,85.93,87.88,88.07,0,12
2012-12-11,85.79,188512.0,87.00142857142858,1.3502170536450873,85.56,86.26,88.91,1,12
2012-12-12,86.77,273858.0,86.67,1.3460937099110395,85.79,85.93,89.09,2,12
2012-12-13,85.89,196099.0,86.29714285714286,1.3555286537120788,86.77,85.56,88.5,3,12
2012-12-14,86.73,200200.0,86.13285714285715,1.3063940455692706,85.89,85.79,87.88,4,12
2012-12-17,87.2,136869.0,86.26714285714286,1.2882182295312175,86.73,86.77,86.26,0,12
2012-12-18,87.93,60877.0,86.55285714285716,1.2577719764836477,87.2,85.89,85.93,1,12
2012-12-19,89.51,28097.0,87.11714285714287,1.2611728258060861,87.93,86.73,85.56,2,12
2012-12-20,90.13,168958.0,87.73714285714287,1.3271102908718262,89.51,87.2,85.79,3,12
2012-12-21,88.66,168359.0,88.00714285714287,1.3350834491116723,90.13,87.93,86.77,4,12
2012-12-24,88.61,39680.0,88.39571428571428,1.315307577332566,88.66,89.51,85.89,0,12
2012-12-25,88.61,98873.0,88.66428571428571,1.2766769454284257,88.61,90.13,86.73,1,12
2012-12-26,90.98,132438.0,89.20428571428572,1.4053702011565463,88.61,88.66,87.2,2,12
2012-12-27,90.87,139015.0,89.62428571428572,1.4596449339936286,90.98,88.61,87.93,3,12
2012-12-28,90.8,111572.0,89.80857142857143,1.5386657901549077,90.87,88.61,89.51,4,12
2012-12-31,91.82,106652.0,90.04999999999998,1.6768038836929424,90.8,90.98,90.13,0,12
2013-01-01,91.82,111572.0,90.50142857142858,1.7920989107041598,91.82,90.87,88.66,1,1
2013-01-02,93.12,185917.0,91.14571428571428,1.993766406266924,91.82,90.8,88.61,2,1
2013-01-03,92.92,172904.0,91.76142857142857,2.1452161426883007,93.12,91.82,88.61,3,1
2013-01-04,93.09,193041.0,92.06285714285714,2.2948749496394463,92.92,91.82,90.98,4,1
2013-01-07,93.19,148810.0,92.39428571428572,2.4233042180735826,93.09,93.12,90.87,0,1
2013-01-08,93.15,170622.0,92.73,2.5168013817943953,93.19,92.92,90.8,1,1
2013-01-09,93.1,179372.0,92.91285714285713,2.565432207990103,93.15,93.09,91.82,2,1
2013-01-10,93.82,255459.0,93.19857142857143,2.677832027558105,93.1,93.19,91.82,3,1
2013-01-11,93.56,224444.0,93.26142857142858,2.7721465395576526,93.82,93.15,93.12,4,1
2013-01-14,94.14,220468.0,93.4357142857143,2.884278909465252,93.56,93.1,92.92,0,1
2013-01-15,93.28,222878.0,93.46285714285715,2.937075643107134,94.14,93.82,93.09,1,1
2013-01-16,94.24,222217.0,93.61285714285714,3.0047432999925996,93.28,93.56,93.19,2,1
2013-01-17,95.49,164067.0,93.94714285714285,3.054313117656651,94.24,94.14,93.15,3,1
2013-01-18,95.56,83716.0,94.29857142857142,3.057301492132062,95.49,93.28,93.1,4,1
2013-01-21,95.56,221342.5,94.54714285714286,3.0021391607035315,95.56,94.24,93.82,0,1
2013-01-22,96.24,30025.0,94.92999999999999,2.957333938362104,95.56,95.49,93.56,1,1
2013-01-23,95.23,301915.0,95.08571428571427,2.887390043684367,96.24,95.56,94.14,2,1
2013-01-24,95.95,218376.0,95.46714285714286,2.753406855214937,95.23,95.56,93.28,3,1
2013-01-25,95.88,171966.0,95.70142857142856,2.633392200709646,95.95,96.24,94.24,4,1
2013-01-28,96.44,157795.0,95.83714285714287,2.5327387384491797,95.88,95.23,95.49,0,1
2013-01-29,97.57,240890.0,96.12428571428572,2.5062635100102586,96.44,95.95,95.56,1,1
2013-01-30,97.94,25723.0,96.46428571428571,2.5605558169963314,97.57,95.88,95.56,2,1
2013-01-31,97.49,216300.0,96.64285714285714,2.589630093852829,97.94,96.44,96.24,3,1
2013-02-01,97.77,25723.0,97.00571428571428,2.518975891156874,97.49,97.57,95.23,4,2
2013-02-04,96.17,182673.0,97.03714285714285,2.3389554599602405,97.77,97.94,95.95,0,2
2013-02-05,96.64,172392.0,97.14571428571428,2.127924924135777,96.17,97.49,95.88,1,2
2013-02-06,96.62,265135.0,97.17142857142856,2.0577646894727772,96.64,97.77,96.44,2,2
2013-02-07,95.83,244857.0,96.92285714285715,1.939528352431245,96.62,96.17,97.57,3,2
2013-02-08,95.72,204292.0,96.60571428571428,1.7906829429852833,95.83,96.64,97.94,4,2
2013-02-11,97.03,252599.0,96.53999999999999,1.7252613994845212,95.72,96.62,97.49,0,2
2013-02-12,97.51,209474.0,96.50285714285714,1.6577718393264822,97.03,95.83,97.77,1,2
2013-02-13,97.01,215116.0,96.62285714285714,1.6299052930668525,97.51,95.72,96.17,2,2
2013-02-14,97.31,159704.0,96.71857142857142,1.5895145286473846,97.01,97.03,96.64,3,2
2013-02-15,95.86,25723.0,96.61,1.5163931798387793,97.31,97.51,96.62,4,2
2013-02-18,95.86,206883.0,96.61428571428571,1.4398092546079335,95.86,97.01,95.83,0,2
2013-02-19,96.66,84662.0,96.74857142857142,1.3573798289349457,95.86,97.31,95.72,1,2
2013-02-20,94.46,25723.0,96.38142857142857,1.2806295147397013,96.66,95.86,97.03,2,2
2013-02-21,92.84,273517.0,95.71428571428571,1.347868645327478,94.46,95.86,97.51,3,2
2013-02-22,93.13,190240.0,95.16,1.3759202145404623,92.84,96.66,97.01,4,2
2013-02-25,93.11,204692.0,94.55999999999999,1.4333731617025356,93.13,94.46,97.31,0,2
2013-02-26,92.63,215913.0,94.09857142857143,1.4782400610727586,93.11,92.84,95.86,1,2
2013-02-27,92.76,188099.0,93.6557142857143,1.5567236815469647,92.63,93.13,95.86,2,2
2013-02-28,92.05,197469.0,92.99714285714286,1.7010355534269384,92.76,93.11,96.66,3,2
2013-03-01,90.68,231512.0,92.45714285714287,1.9319796588728302,92.05,92.63,94.46,4,3
2013-03-04,90.12,207844.0,92.06857142857143,2.169877611888345,90.68,92.76,92.84,0,3
2013-03-05,90.82,175761.0,91.73857142857142,2.314093973791863,90.12,92.05,93.13,1,3
2013-03-06,90.43,226289.0,91.35571428571428,2.4704369058421096,90.82,90.68,93.11,2,3
2013-03-07,91.56,204541.0,91.20285714285714,2.541804047540169,90.43,90.12,92.63,3,3
2013-03-08,91.95,199349.0,91.08714285714287,2.5884447245312536,91.56,90.82,92.76,4,3
2013-03-11,92.06,168461.0,91.08857142857143,2.6122199349414332,91.95,90.43,92.05,0,3
2013-03-12,92.54,261640.0,91.35428571428572,2.575273314364491,92.06,91.56,90.68,1,3
2013-03-13,92.52,229991.0,91.69714285714285,2.5089830334358,92.54,91.95,90.12,2,3
2013-03-14,93.03,155443.0,92.01285714285714,2.440856171627997,92.52,92.06,90.82,3,3
2013-03-15,93.45,153777.0,92.44428571428571,2.3416391743794134,93.03,92.54,90.43,4,3
2013-03-18,93.74,138042.0,92.75571428571429,2.3037535837655145,93.45,92.52,91.56,0,3
2013-03-19,92.16,70663.0,92.78571428571429,2.2624563245926956,93.74,93.03,91.95,1,3
2013-03-20,92.96,25723.0,92.91428571428573,2.198173458061032,92.16,93.45,92.06,2,3
2013-03-21,92.45,25723.0,92.90142857142857,2.1659472457251225,92.96,93.74,92.54,3,3
2013-03-22,93.71,190513.0,93.07142857142857,2.1249784312630617,92.45,92.16,92.52,4,3
2013-03-25,94.81,258045.0,93.32571428571428,2.0312777248328704,93.71,92.96,93.03,0,3
2013-03-26,96.34,200234.0,93.73857142857142,1.9583639958469916,94.81,92.45,93.45,1,3
2013-03-27,96.58,191593.0,94.14428571428572,1.9316682088198869,96.34,93.71,93.74,2,3
2013-03-28,97.23,156769.0,94.86857142857141,1.9259683338488254,96.58,94.81,92.16,3,3
2013-03-29,97.23,191053.0,95.47857142857141,2.0038382996225987,97.23,96.34,92.96,4,3
2013-04-01,97.07,176345.0,96.13857142857144,2.0676989264819503,97.23,96.58,92.45,0,4
2013-04-02,97.19,25723.0,96.63571428571427,2.098814361523626,97.07,97.23,93.71,1,4
2013-04-03,94.45,25723.0,96.58428571428571,2.0986388582772313,97.19,97.23,94.81,2,4
2013-04-04,93.26,337851.0,96.14428571428572,2.096265864510639,94.45,97.07,96.34,3,4
2013-04-05,92.7,240725.0,95.59,2.0996477263370963,93.26,97.19,96.58,4,4
2013-04-08,93.36,188830.0,95.03714285714287,2.0990091805968305,92.7,94.45,97.23,0,4
2013-04-09,94.2,209308.0,94.60428571428572,2.0988587210754246,93.36,93.26,97.23,1,4
2013-04-10,94.64,201164.0,94.25714285714285,2.105694223034155,94.2,92.7,97.07,2,4
2013-04-11,93.51,200110.0,93.7314285714286,2.087589078559141,94.64,93.36,97.19,3,4
2013-04-12,91.29,305192.0,93.28,2.061393457956439,93.51,94.2,94.45,4,4
2013-04-15,88.71,25723.0,92.63000000000001,2.156835298706649,91.29,94.64,93.26,0,4
2013-04-16,88.72,265709.0,92.06142857142856,2.278522030544811,88.71,93.51,92.7,1,4
2013-04-17,86.68,273036.0,91.10714285714286,2.5385949593852115,88.72,91.29,93.36,2,4
2013-04-18,87.73,211612.0,90.18285714285716,2.7207926710097974,86.68,88.71,94.2,3,4
2013-04-19,88.01,65860.0,89.2357142857143,2.8744159026851284,87.73,88.72,94.64,4,4
2013-04-22,88.76,25723.0,88.55714285714286,2.9760500127116325,88.01,86.68,93.51,0,4
2013-04-23,89.18,25723.0,88.25571428571428,3.054880417924097,88.76,87.73,91.29,1,4
2013-04-24,91.43,240421.0,88.64428571428572,3.065473955967114,89.18,88.01,88.71,2,4
